row,col,value
9,29,0.3573308584380174
2,3,0.21163191292927164
26,19,0.4882146413585845
10,5,0.2925404312157993
5,9,0.9750155610033246
23,14,0.9152484949190348
17,6,0.2243663037484831
4,33,0.24543055973748729
32,9,0.4352357320966178
30,30,0.28353051906263615
39,27,0.39894528723954237
7,2,0.2513311874326074
2,9,0.2468096801054317
5,6,0.7069673819200931
26,38,0.21671069236076046
14,34,0.1801562864363203
26,22,0.16584074400235882
14,15,0.6009571507091535
21,33,0.933278078462837
0,2,0.6456100361931216
14,11,0.07301044486686636
22,21,0.01119646865206847
32,12,0.5951136288058042
35,26,0.12238431691190232
14,6,0.6799679309184687
28,19,0.20582389905652054
22,33,0.009474903479292918
39,18,0.37064414010938884
18,24,0.45824245890337645
33,29,0.1282300718356214
35,12,0.851757963237058
18,18,0.4595212507569155
6,36,0.45035189405921827
20,38,0.9650346196836396
31,29,0.5087925622521996
8,19,0.5960841403610256
2,25,0.8162575337875603
38,16,0.07529186050756975
37,10,0.9055742736316842
8,23,0.529360540303697
36,21,0.8668483049779917
32,32,0.37013667766895886
7,21,0.9572129446265744
10,1,0.7457798737285894
37,26,0.737866715210018
24,13,0.6604229781456796
35,1,0.0697715389981608
20,19,0.8271940279851389
13,11,0.40463889522874374
30,38,0.7291650498255827
29,5,0.5740617178343497
11,6,0.10061588784368447
29,33,0.26908133816489177
27,2,0.6706786832209856
24,25,0.5808217964960579
17,12,0.31200278176326834
22,6,0.04334315697986946
13,1,0.8249353617453258
27,36,0.9216969401398334
8,12,0.25760180795036824
1,11,0.24292895084925747
39,26,0.35897317035795984
19,21,0.28556829873510303
15,1,0.9118387435058046
34,32,0.31380652462408287
3,38,0.9717691522092118
37,21,0.7390447469576814
17,36,0.8621498827011261
14,1,0.7610869831588181
37,39,0.6530460585577493
38,6,0.18637747201996335
12,10,0.8705859425135122
5,31,0.39744058504669433
26,5,0.3356333048843235
6,22,0.7891250035363916
10,33,0.1268573158821129
7,14,0.17615883193905046
29,8,0.02063354041999821
27,17,0.5456497185621776
22,2,0.5248714756687498
19,25,0.20678535998756797
6,7,0.2625420677598612
11,19,0.24021857750021647
35,39,0.14368926148161076
7,31,0.7131843058109484
35,11,0.4469902754241937
26,27,0.29565515372189555
9,32,0.002662910227920423
10,35,0.21200352258174437
6,1,0.6101213421806385
34,21,0.9882497828853988
38,21,0.017297985246395475
37,18,0.6655317585303392
38,19,0.985000406595282
5,1,0.658649570844994
33,27,0.3726803932737093
3,18,0.004524758603354551
23,32,0.6553626423849758
7,27,0.9584342164768482
33,21,0.9539025140087475
13,10,0.6873630265791618
4,31,0.8504451082922364
12,8,0.9924518364151359
27,10,0.8527450369058251
17,37,0.914736053883605
36,26,0.5138427084407852
8,29,0.7227830016844164
1,32,0.46732152946841343
7,7,0.005096753536520504
5,38,0.6652503397253716
28,36,0.8830399705374696
16,1,0.3394906370000327
18,25,0.5852918430320001
30,20,0.7838730138176065
3,27,0.6203017721836123
5,3,0.49507131327915843
2,14,0.6071595765720912
24,30,0.8425656747008583
36,8,0.0563227818479769
39,39,0.29799595415332114
11,25,0.2471560892406488
39,33,0.33410100020065014
0,34,0.34272881246606857
14,30,0.4325258716884365
34,3,0.3464429478718589
18,35,0.6064118619672734
7,29,0.010960081676300026
22,22,0.3915216572335938
21,37,0.770756129325906
38,24,0.8638174694699174
28,7,0.706001577240356
14,21,0.46134929330482355
23,3,0.8542345157539115
31,35,0.1309184570926447
15,24,0.6261527795730453
26,2,0.8922507081938057
19,12,0.2926173067738197
18,28,0.9931871158248461
3,21,0.9918514626110281
39,37,0.3549853107040486
11,2,0.5671593959423562
3,20,0.2288425411514079
16,31,0.6263520270836678
0,27,0.9231404668120086
19,9,0.20747753041320394
18,36,0.9025728091593729
27,35,0.5726682114656688
25,27,0.8698441720128645
3,9,0.3080312497015878
13,32,0.8090007344441849
13,22,0.24804083624093387
31,32,0.7652403787528526
20,18,0.6824471917791948
5,32,0.67650968852117
3,22,0.7586468218645124
4,7,0.7497763412507166
8,28,0.7188028436469845
6,6,0.6234220274459287
39,19,0.7812821761895752
17,30,0.7217069055683989
20,36,0.018236159238385063
18,22,0.1014193911632848
11,28,0.8129933551244836
26,34,0.8337702843045299
13,38,0.9329651674423255
5,12,0.17791800041807826
26,24,0.7245735510637658
3,37,0.8563271021752406
29,27,0.43631289726435163
14,19,0.022039872718652376
28,18,0.6420002454930959
17,10,0.49006582556847
13,30,0.11293591833787064
13,8,0.006195770365667541
14,12,0.06767292567050176
15,33,0.5855582127209561
15,2,0.9031537561749416
20,22,0.09412703031163483
0,26,0.45639276252643235
18,26,0.857179417151128
23,36,0.05937121677241097
33,26,0.4310969005804698
6,12,0.7878682305173997
11,27,0.11023322413541536
25,18,0.13901361865099138
13,25,0.5276028247765907
7,3,0.9929760158501588
10,12,0.24533644627706708
32,36,0.50819465206319
0,6,0.8695609759602362
24,0,0.14046533130103367
32,0,0.3469372275780226
36,6,0.9779535475621052
15,31,0.9740694220843783
4,22,0.690623797634073
19,20,0.23610462920187003
28,1,0.6136790255592208
1,0,0.48498325143847043
30,39,0.14215512108476058
17,20,0.5652351063902619
33,38,0.5885831457554935
29,10,0.5467336218166823
26,28,0.08876505003952606
5,34,0.3804175246837318
5,21,0.21102282381148596
38,14,0.258751941797458
11,10,0.05331988088325301
2,35,0.05119418691473643
20,15,0.51456748832215
7,9,0.38070171736297465
12,24,0.3119994536700247
23,17,0.7548603663961291
19,22,0.9960063111694807
19,7,0.8705514272547241
29,13,0.8593097996330613
5,7,0.13728200266018553
21,7,0.2814330879143423
32,3,0.54971005970421
32,33,0.31357658040538805
37,36,0.8208099563125808
30,36,0.16310682626941186
0,4,0.2657383149992687
31,38,0.353009241837011
26,18,0.8669074190301145
20,20,0.4159330039032094
5,35,0.6234262331533282
13,13,0.13846624973996424
39,20,0.31311531916678226
24,9,0.8537594034153676
25,25,0.26984832653198076
9,16,0.5983292258414136
8,18,0.4097211513590836
35,0,0.6985684661788865
26,10,0.5470212581725215
38,29,0.994776990437568
31,37,0.3710597658092968
8,25,0.8178227630680307
18,7,0.9284465873509403
16,27,0.4884815640132185
30,31,0.5015773378854708
35,17,0.7299721088162628
3,32,0.91350158270329
30,27,0.34343259907498946
27,3,0.9068440768650767
33,23,0.16504720272249274
10,3,0.543614115233569
23,6,0.2526145520242413
33,24,0.5377884571626811
19,24,0.4077427611349985
25,16,0.47352720534046777
22,9,0.21389094296929656
22,5,0.1413376211826377
26,30,0.15898861402458986
4,3,0.5321762889817713
6,24,0.9048755031726494
17,35,0.9026415650295448
24,37,0.2966622416739986
35,29,0.9135656418172592
21,4,0.6771542228914743
20,24,0.7782890240160291
8,36,0.30143388226341516
20,8,0.8875070828843397
32,34,0.7042657293747739
11,30,0.7716322847387889
27,7,0.39879094691185013
14,27,0.5955277939643888
23,1,0.1257760907047275
7,23,0.545339715896577
18,31,0.9535556593103252
37,24,0.28905951765702675
12,15,0.9814381491042448
34,20,0.5813047255092262
26,20,0.1373011306075278
27,6,0.7188125898871682
14,13,0.55668294322628
32,10,0.24379127642959297
34,1,0.20241481309477194
17,26,0.4913884880807432
22,31,0.20814527296511431
34,2,0.31073653099482224
22,14,0.42717388939835954
35,8,0.7736819781211337
25,15,0.7055990790467385
36,24,0.9540180294050672
2,21,0.4076763561249349
19,34,0.8588897941538656
4,18,0.08780249933240958
37,13,0.24787568614581457
14,7,0.798801463288942
11,35,0.5588656211603056
28,14,0.03728527833762618
27,31,0.34874320302066075
19,5,0.14973116762337824
8,37,0.3478288772964053
29,16,0.05699481768075987
13,16,0.9687084410853024
12,13,0.5362877541441249
1,35,0.42217514536897394
15,18,0.22673428935936135
27,15,0.21658135406326073
27,34,0.44996453065939224
39,21,0.9848094486786066
29,3,0.21537941689398554
25,35,0.15203003852554753
11,0,0.9558644019699611
28,11,0.258606109050312
0,18,0.8855376948954566
23,29,0.042045989351068735
29,31,0.9836802152189011
30,32,0.9925059968526112
30,3,0.8240885273953288
18,5,0.21320671851053352
8,27,0.22291929485758244
14,23,0.13126898480459215
5,20,0.6075132392102515
22,24,0.8814593236225097
11,7,0.7041769987901634
12,21,0.6931925356639278
35,37,0.34467777946486255
25,19,0.8162536030614834
0,17,0.29884996961227583
16,19,0.30782061235516067
27,27,0.10197680952766075
11,5,0.9429347001011266
37,6,0.5702813156590067
38,0,0.21468591206749066
39,32,0.9732439114583906
8,13,0.5530385434815873
9,21,0.6603737990129093
23,9,0.9225513690828736
24,19,0.8684160765032412
38,22,0.7085449628438022
39,15,0.8183595560805949
6,33,0.6450587803356596
0,14,0.8818897799123522
39,28,0.310743648147486
14,9,0.7783812582368582
21,15,0.4694413848900617
10,18,0.46511588393480896
36,9,0.501641140732248
23,20,0.4435381336181946
1,5,0.4630655763770505
33,20,0.4924500030410375
9,4,0.5076185714055251
9,38,0.13340057750466194
19,28,0.5353106941896927
34,26,0.9054405455066049
18,39,0.924397600784272
4,19,0.6956824228058807
30,2,0.6732550854574184
10,22,0.6279439511369044
34,33,0.520525415547378
17,34,0.9163082503449129
14,2,0.8988322948180139
30,18,0.9827386644627718
16,36,0.9078493488028174
25,2,0.5048523246034968
3,35,0.48661280216196867
14,29,0.5696739581093103
19,26,0.6490172246940579
36,36,0.7709584087381577
25,29,0.22667315747145944
17,19,0.7982740645892611
14,22,0.1805734826526525
36,27,0.2842689157331729
35,3,0.6644936973095013
33,31,0.11073295320723009
37,29,0.020114546346147844
28,10,0.22298868644303615
34,6,0.6575380435270807
11,33,0.7944428751069403
31,39,0.027001783734400764
20,28,0.37791127039405614
8,14,0.7197905929690527
25,36,0.5227512184639227
10,13,0.24943401996817893
30,34,0.8417041370020681
22,11,0.47482785429859775
0,22,0.2212044647571878
23,11,0.19720049093924685
5,22,0.9605875905789435
31,30,0.8809446404760746
28,3,0.7965400141724792
30,26,0.5494006520278103
32,2,0.7157549799877484
1,4,0.6271380151877364
32,13,0.6611623290051369
3,12,0.78585520280572
30,21,0.2200870804594176
30,24,0.19625953172408706
